ID,VerseID,Word,Meaning
295,"لاو24: 2","مرضوض","معصور - مسحوق"
296,"لاو24: 12","المحرس","الحبس - السجن"
297,"لاو25: 3","تقضب","تقطيع - تقليم الأغصان"
298,"لاو25: 5","زريع","ما ينبت فى الأرض من الحبوب المتبقية بعد الحصاد"
299,"لاو25: 14","يغبن","يخدع"
300,"لاو26: 22","فتوحش","تقفر - تصبح خالية"
301,"لاو26: 30","شمساتكم","تماثيل الشمس التى كانوا يتعبدون لها"
302,"لاو26: 41","الغلف","المراد النجس - الغليظ القلب"
303,"لاو27: 16","حومر","مكيال سعته 230 لتر"
304,"لاو27: 25","جيرة","وحدة موازين = 0.6 من الجرام"
305,"عد1: 3","اجنادهم","جيوشهم"
306,"عد1: 4","سبط","عشيرة - قبيلة"
307,"عد1: 52","محلته","مكان أقامته"
308,"عد1: 53","سخط","غضب شديد"
309,"عد3: 25","سجف","ستائر"
310,"عد3: 26","اطنابه","حباله"
311,"عد3: 36","فرضه","قواعده"
312,"عد3: 47","جيرة","وحدة موازين = 0.6 جرام تقريبا"
313,"عد4: 7","الاقداح","المغارف"
314,"عد4: 10","العتلة","الحمالة"
315,"عد4: 14","الرفوش","جمع رفش = الجاروف - المزراة"
316,"عد4: 18","سبط","عشيرة - قبيلة"
317,"عد4: 25","شقق","ستائر - غطاء"
318,"عد5: 8","كبش","خروف ذكر الغنم"
319,"عد6: 2","النذير","المخصص - المكرس للرب"
320,"عد6: 3","نقيع","شراب زبيب العنب المنقوع فى الماء"
321,"عد6: 4","العجم","النواية - بذرة الثمرة"
322,"عد7: 10","لتدشين","لتكريس - لتخصيص"
323,"عد8: 4","مسحولة","مطروقة"
324,"عد9: 11","مرار","اعشاب مرة الطعم"
325,"عد10: 25","ساقة","مؤخرة الجيش"
326,"عد11: 3","تبعيرة","إحتراق"
327,"عد11: 6","المن","من هو ؟"
328,"عد11: 8","ملات","كعك"
329,"عد11: 26","الداد","اسم عبرى معناه من أحبه الله"
330,"عد13: 23","زرجونة","غصن"
331,"عد13: 24","اشكول","عنقود"
332,"عد15: 38","اهدابا","الخيوط المتدلية فى نهاية الثوب"
333,"عد18: 12","المسطار","الخمر الجديدة"
334,"عد19: 2","نير","الخشبة التى توضع على عنق بقرتين لتشغيلهما معا"
335,"عد20: 10","المردة","المتمردون - العصاة"
336,"عد20: 13","مريبة","نزاع - شجار - مخاصمة"
337,"عد21: 15","عار","اسم سامى معناه مدينة"
338,"عد21: 29","كموش","إله المؤابيين"
339,"عد22: 7","حلوان","بقشيش - رشوة - هدية"
340,"عد22: 26","للنكوب","للتحول"
341,"عد23: 10","ربع","بيوت - خيام - مساكن"
342,"عد23: 22","الرئم","الثور الوحشى"
343,"عد23: 23","عيافة","ممارسة السحر و التنجيم"
344,"عد24: 6","عود","احدى العطور الشرقية الثمينة"
345,"عد24: 17","الوغى","الحرب"
346,"عد28: 5","الرض","المعصور جيدا"
347,"عد28: 16","فصح","عبور"
348,"عد32: 16","صير","حظائر للبهائم و الغنم"
349,"عد35: 2","مسارح","مراعى"
350,"تث1: 19","القفر","البرية الجدبة"
351,"تث1: 27","تمرمرتم","غضبتم"
352,"تث2: 36","عروعير","هى نفسها مدينة عار"
353,"تث3: 5","مزاليج","آلة لغلق الأبواب"
354,"تث3: 18","متجردين","متسلحين - مستعدين للحرب"
355,"تث3: 29","الجواء","أودية واسعة"
356,"تث4: 20","كور","فرن تحمى فيها المعادن أو تصهر"
357,"تث4: 43","باصر","اسم عبرى معناه حصن"
358,"تث5: 14","فسبت","فراحة"
359,"تث9: 21","رضضته","سحقته"
360,"تث12: 15","الايل","نوع من التيوس الجبلية"
361,"تث14: 1","تخمشوا","تخدشوا - تجرحوا"
362,"تث14: 5","اليحمور","حيوان من عائلة الايائل"
363,"تث14: 7","الوبر","حيوان يشبه الأرنب"
364,"تث14: 13","الشاهين","طائر جارح من عائلة الصقور"
365,"تث16: 22","نصبا","تمثالا - صنم"
366,"تث18: 4","جزاز","كمية الصوف المجزوز من الغنم"
367,"تث18: 11","رقية","تعويذة - حجاب"
368,"تث18: 12","الارجاس","الافعال المرتبطة بعبادة الاوثان"
369,"تث19: 5","الوعر","موضع أشجار كثيفة"
